ros_time_sec,fx,fy,fz,mx,my,mz,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,tag_visible,tag_id,tag_roll(rad),tag_pitch(rad),tag_yaw(rad),tag_tx(m),tag_ty(m),tag_tz(m),tag_qx,tag_qy,tag_qz,tag_qw
1762457096.534452,0.006465133,0.006776447,0.020013387,-0.000296927,-0.000719693,-0.000739787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976169989,-0.000484178,0.027519906,0.000055296,-0.015809751,0.559662318,0.996486720,0.013732479,-0.000895532,-0.082612554
1762457096.604895,0.036777133,0.029203447,0.013914387,0.000236073,0.001394307,0.000776213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.974523912,-0.007035085,0.026701089,0.000060789,-0.015805125,0.559583201,0.996414144,0.013596982,0.002391065,-0.083476098
1762457096.636804,-0.023537867,0.018310447,0.007158387,0.000208073,0.000000307,-0.000350787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975102881,-0.008856115,0.026547924,0.000060472,-0.015801458,0.559615978,0.996434696,0.013595632,0.003308650,-0.083199208
1762457096.705690,-0.000854867,0.022458447,0.004111387,0.000085073,-0.000036693,0.000359213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.979542450,-0.003865931,0.027257021,0.000058796,-0.015813148,0.559794720,0.996622706,0.013739786,0.000823436,-0.080955064
1762457096.738641,0.007042133,0.034762447,-0.002273613,0.000085073,0.000761307,-0.001052787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.978963582,-0.005281006,0.026960057,0.000059644,-0.015807297,0.559705990,0.996598875,0.013649489,0.001536658,-0.081252769
1762457096.777173,-0.016330867,0.026949447,0.011930387,-0.000335927,0.000057307,-0.000213787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975850665,-0.007252110,0.026959809,0.000059661,-0.015807457,0.559621577,0.996467026,0.013733272,0.002497501,-0.082816818
1762457096.843980,0.029716133,0.008583447,0.002215387,0.000391073,0.001032307,0.000403213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975516409,-0.005968226,0.026808168,0.000061010,-0.015808824,0.559709951,0.996457038,0.013604926,0.001861826,-0.082974766
1762457096.881400,-0.000617867,0.018611447,-0.008142613,-0.000175927,-0.000186693,0.000411213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.977211409,-0.009616905,0.026574225,0.000062939,-0.015806598,0.559695396,0.996519512,0.013636444,0.003700977,-0.082153593
1762457096.947094,-0.030981867,0.009514447,-0.002856613,0.000077073,0.000314307,0.000269213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976008951,-0.007316941,0.026628263,0.000063767,-0.015804244,0.559592772,0.996475687,0.013570564,0.002544605,-0.082737959
1762457096.983743,0.007427133,0.030665447,-0.014620613,0.000227073,0.000611307,-0.000991787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976250447,-0.005888862,0.027227170,0.000061738,-0.015805116,0.559626721,0.996484714,0.013809732,0.001809970,-0.082608902
1762457097.048795,0.044926133,0.004669447,-0.000305613,0.000273073,0.000783307,0.000576213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975766665,-0.006892933,0.026684690,0.000062614,-0.015807441,0.559648491,0.996466258,0.013581440,0.002329367,-0.082855990
1762457097.085108,-0.023776867,0.016988447,0.006264387,0.000202073,0.000862307,0.001188213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976292135,-0.006153707,0.026571774,0.000060823,-0.015812112,0.559669122,0.996490365,0.013494073,0.001969280,-0.082589254
1762457097.152579,-0.008590867,0.031240447,0.004263387,-0.000331927,-0.000034693,-0.000005787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.978234329,-0.007578697,0.026899462,0.000062775,-0.015811995,0.559710282,0.996564654,0.013713529,0.002679064,-0.081631201
1762457097.188586,0.022374133,-0.002731553,0.005565387,0.000537073,-0.000019693,-0.000855787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.977278727,-0.003208458,0.027048604,0.000059960,-0.015805042,0.559715951,0.996532808,0.013609895,0.000488840,-0.082078583
1762457097.252667,-0.000897867,0.013403447,0.015156387,0.000228073,0.000752307,-0.000679787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976939751,-0.007695294,0.026973855,0.000064017,-0.015810487,0.559842335,0.996510808,0.013757117,0.002725222,-0.082277114
1762457097.290075,0.006886133,0.031107447,-0.006060613,-0.000048927,-0.000159693,0.000514213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.973768377,-0.007963940,0.026623884,0.000062387,-0.015802500,0.559616674,0.996380809,0.013598320,0.002851916,-0.083858427
1762457097.327147,-0.023210867,0.013074447,-0.000044613,0.000618073,0.000787307,-0.000274787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.977718594,-0.010316294,0.026415215,0.000065210,-0.015810185,0.559739616,0.996539280,0.013584870,0.004059434,-0.081905046
1762457097.393319,-0.008025867,0.031504447,-0.015570613,-0.000190927,-0.000274693,0.000009213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.977392665,-0.006952946,0.027158016,0.000063464,-0.015805487,0.559707150,0.996529912,0.013817843,0.002350893,-0.082046784
1762457097.430821,0.037958133,0.008850447,-0.024277613,-0.000659927,-0.002130693,-0.001244787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.973974591,-0.006179086,0.026817154,0.000061755,-0.015802452,0.559561032,0.996392277,0.013619655,0.001956011,-0.083744309
1762457097.495899,-0.015738867,0.015381447,0.000376387,-0.000180927,-0.000738693,-0.001204787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.974945802,-0.004203133,0.026935562,0.000064173,-0.015806747,0.559701960,0.996435681,0.013595512,0.000973237,-0.083247516
1762457097.534579,-0.000259867,0.005092447,-0.004204613,0.000378073,0.000735307,-0.000942787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975322415,-0.003578315,0.027321677,0.000062792,-0.015811194,0.559693406,0.996449656,0.013761769,0.000648460,-0.083055863
1762457097.600535,0.006956133,0.004294447,0.009799387,0.000781073,0.000906307,0.000076213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.974776537,-0.005356664,0.026820891,0.000058952,-0.015804885,0.559656399,0.996427392,0.013586492,0.001551572,-0.083339383
1762457097.636186,-0.016178867,0.039772447,0.004322387,-0.000345927,-0.000033693,-0.000362787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.973707453,-0.008358254,0.026778310,0.000062602,-0.015806370,0.559558288,0.996376178,0.013691858,0.003041469,-0.083891562
1762457097.672055,0.014503133,0.018471447,-0.008503613,-0.000164927,-0.000190693,0.000920213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.976399152,-0.011016108,0.026368935,0.000066185,-0.015808004,0.559701362,0.996483102,0.013593328,0.004401063,-0.082566816
1762457097.738924,0.006943133,0.018541447,-0.008322613,-0.000170927,-0.000188693,0.000665213,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975427710,-0.004851343,0.027029322,0.000056519,-0.015807818,0.559679496,0.996453978,0.013668875,0.001295579,-0.083011768
1762457097.775054,0.006353133,0.013213447,0.025290387,-0.000037927,0.001093307,-0.000817787,0.434176800,-0.001415579,0.244232966,0.001017568,0.702549229,-0.001303242,0.711633225,1,3,-2.975521482,-0.002459544,0.027532517,0.000058410,-0.015805876,0.559668019,0.996457942,0.013820371,0.000083679,-0.082949147
